total_orders,customer_id
1900,100729
1200,105150
1500,104433
1100,100022
1200,107186
1500,109627
900,105164
1100,102584
1000,105450
2400,104034
1600,107101
1500,106462
1900,107032
1800,100009
1500,103719
1500,102110
800,108015
1300,107736
800,104044
600,102386
1600,108933
1300,103013
2000,100590
1300,104069
1000,100737
1800,103588
700,100602
1600,107303
1200,103256
1300,100844
1200,107905
1900,106712
1400,103632
1800,107594
1200,101349
1200,108047
1300,104499
2000,107848
1500,101150
800,106142
1900,102736
900,106492
1400,109623
1100,102860
1300,108636
1500,103357
1100,109152
1000,102036
1300,103230
800,106617
1600,101696
500,105409
1400,102229
1600,106683
1700,103935
1200,109209
2700,101102
1300,102821
1700,104417
1300,103646
800,103189
1500,109696
1100,101762
1300,101039
1600,107815
1200,108390
1200,102143
2100,100520
1000,106494
1900,101672
1400,106961
1100,101611
1900,109188
1400,107785
1400,102405
1000,101673
1000,103234
1400,106475
500,105312
800,101083
1200,107724
1600,104711
1200,103100
800,109495
1800,106877
1200,101800
1900,102823
1100,106054
1100,101771
1600,100332
800,105420
1100,107796
1100,101504
1800,103505
1600,106429
1100,101313
1000,102127
1600,107761
1700,109903
1600,108819
1300,103539
1200,102459
1900,104873
1100,104968
800,105594
1100,107044
1600,101720
1200,109282
1900,103171
800,106701
1400,109160
1600,108694
900,102972
1100,108627
1100,109668
2200,106259
1200,102902
900,105796
1500,102942
1300,105655
2300,103827
1300,108817
1600,103281
1800,104285
1800,102678
1700,104347
1400,103620
2000,106109
2700,102714
1200,103806
1300,109501
1700,100221
700,107999
1500,102858
900,105405
1500,104954
1700,106272
1600,100694
1800,109271
700,102138
1600,104197
2000,101185
1100,103573
1200,108832
1600,102234
1300,108091
2300,104476
1400,107131
1100,107024
1200,103440
1000,104940
1300,107220
1400,101792
1400,102927
1400,100094
1000,108516
1600,100299
1300,106321
1400,100529
1700,106501
1200,105469
1300,108972
900,109183
1100,104286
1700,104415
1700,103482
800,107395
2000,106101
1000,100065
800,103878
1300,103625
1300,101470
2200,106624
1500,106042
1600,108492
1200,106830
1700,106121
1100,101086
1200,101292
1200,103352
2100,100624
1600,104134
1200,102500
1100,108575
800,105036
1300,104130
1000,105349
800,106981
1500,105550
1500,106065
1400,102118
1100,103704
1800,102422
1800,106911
1400,101853
1700,109201
700,101426
1400,101645
1700,109402
1600,101200
900,102217
1200,108950
1300,105598
1600,100513
1400,100467
1700,105233
1500,104720
1100,102476
1300,103540
1600,103499
1900,104650
1700,102410
1200,106732
1900,103858
1700,107967
1700,105320
1900,104882
2000,106310
1700,106468
1300,103162
1200,106740
1000,100056
1300,109841
1500,107233
1400,101665
1700,109434
1100,106225
1200,104116
1800,109465
600,105867
900,107569
2000,103010
700,107275
1700,108799
1600,109506
1300,102680
1300,108420
1400,107047
1200,105770
1300,100408
1200,105300
1600,108662
1500,101686
1500,102788
1500,105366
1200,103803
1200,107977
1300,106931
1500,105173
1500,103839
1100,108567
1700,105139
1100,108775
1500,103566
1600,100248
1600,102204
1800,102681
1300,107720
1200,102848
1400,103184
1000,104994
1400,103671
1400,107149
1700,100583
1300,107316
1700,108576
1500,106308
1000,100440
1600,108932
1200,108746
1300,103299
1200,109438
1500,104497
1800,102659
2400,105123
1800,107356
1500,105410
1500,108528
1800,103245
1500,101244
1600,104737
2000,108325
1600,100226
1700,104492
1500,103530
1600,107211
1700,104030
1100,101127
1100,101165
1900,100981
1500,107085
2700,103611
1300,100778
1900,100180
1300,102800
1500,108499
1300,105525
2200,101211
2000,101811
1700,101807
1700,104462
1500,100058
1400,102582
1200,106154
1100,102761
1300,108507
1600,108450
1700,108382
1200,104625
1100,105810
700,101652
1700,109571
900,104307
2100,108673
1900,103562
1400,100974
1100,108475
1100,109197
2300,100339
1600,104357
1800,105820
900,103454
1600,108392
1400,101893
1100,102531
1800,104169
2400,101199
2200,103917
2100,108692
1400,106546
1000,105969
1300,109467
2300,101616
1600,101798
1100,109555
1400,107987
1100,109845
1200,109691
1400,103349
1600,102712
1200,102947
1200,108188
1100,104731
1400,102589
700,105256
1500,104132
1500,109687
1400,107571
1200,100777
2000,103765
1600,107533
1000,104125
1700,107344
1700,103090
1400,103701
1500,103107
1500,106707
1500,109232
300,106220
1400,106076
1400,103296
1100,103926
1500,105045
1900,100555
800,105877
1600,105006
1100,104081
2000,100913
1700,107651
1500,107127
1700,104759
1700,104785
1700,109760
1400,102496
1700,102394
1500,103624
1000,106153
1100,106096
800,102401
1100,103542
900,102089
2400,107844
1700,107051
1500,101858
1600,104278
1700,100485
1200,109606
1500,102822
1200,100159
1900,105087
1900,101545
1700,106250
1300,103583
800,100026
1200,107590
1200,106775
1700,104119
700,100604
1400,107973
1600,109463
1100,108422
1800,109770
1300,106394
1500,104207
2200,104938
1600,101435
1600,102844
900,105606
900,104049
700,108896
1500,108966
1900,102787
1900,106159
1600,108992
1500,109012
1500,105427
1800,102258
1200,102759
1200,107881
1600,105032
800,106697
1700,104981
1500,104188
1300,107208
800,107019
900,109072
1300,100061
1100,109924
1400,100330
1700,106496
1700,109585
1600,107236
1100,104824
1500,105510
1800,103372
1400,106352
2200,106375
1000,104124
1400,103138
1800,107462
2100,107010
1400,101113
1400,104009
800,108905
2400,105376
1500,100229
1000,101403
1500,101875
1700,101107
1800,108106
1900,101032
1700,108119
800,104825
1300,104653
1200,102904
1400,101689
1500,106921
1500,109459
1100,107817
800,105119
600,106643
1700,100686
1300,103151
1600,100298
2400,107553
1200,102731
1100,101819
1200,101781
1700,104040
1200,100509
1400,106448
1100,104578
2300,102963
1500,109654
2000,102215
1200,105339
1000,104753
1400,101646
1700,107603
1600,100201
1300,104618
1600,106671
1300,109599
1000,103856
1200,108474
1600,107473
1800,108209
900,100454
1300,107547
1700,101180
1700,103921
1700,107975
1400,107827
1300,107107
1600,105885
1200,108951
1100,105002
1500,109496
1600,100409
1400,108157
1700,100388
1800,107937
900,100326
1300,105188
1700,108540
1800,102650
1400,101979
1800,102969
1300,104377
900,106418
1300,108727
900,104921
1700,107202
1500,100752
800,100672
2100,109471
1000,103277
1400,100222
1800,106361
1000,103762
1200,100596
1100,105913
1400,107829
1900,108117
1100,107580
1200,101418
900,100763
1000,109647
1200,109857
1300,101461
1100,103071
1500,100669
900,103824
1600,101985
1500,105473
1400,108019
1500,108033
1600,102123
1600,102249
1500,107093
1600,101498
1400,103630
1300,102811
2000,100854
1300,100198
900,109303
1400,105304
1600,106229
1300,100160
2000,103103
1100,107448
1800,108454
1700,105022
1300,102661
1400,102599
1500,106752
1300,102497
1800,105395
1000,104926
2000,104668
1400,100145
900,107508
1500,108631
1200,101140
1400,107092
1600,100947
1300,103355
2400,100706
1600,103108
1100,100681
1100,102890
800,104262
1700,108588
1600,103538
2100,102091
1400,104389
1100,106716
1900,105454
1300,107088
2500,103313
1000,102573
1200,107943
1700,104803
1300,107352
500,106218
1300,106221
2100,105328
2000,109112
2000,107986
1900,103561
1700,109256
1600,109350
1900,102997
2000,109603
1200,106811
1100,107435
900,102465
2000,103709
1600,102892
1600,106047
1100,103448
1200,102872
1600,105551
1600,103874
1100,103146
1600,100717
1700,103532
1300,104713
1600,106550
1200,106750
1800,103206
1700,100995
1500,104811
1200,102085
1400,107646
1800,103678
900,100671
1700,106919
2100,109929
1500,108498
1300,106012
1600,108210
1300,109597
1000,107285
1100,102763
1800,106537
1900,102001
1900,108473
1100,107869
1300,104665
900,103905
1300,104969
1700,105778
1200,106985
900,101302
1700,109608
1300,106378
1800,102845
1400,103252
1700,104525
1800,103490
1400,101142
1600,107004
1800,106667
1900,104696
1600,107882
1900,107837
1400,102371
1500,102645
1200,107104
1000,105961
1000,105785
1200,100117
1600,107939
1600,103731
1500,106199
500,101933
1500,105656
1500,107604
1600,107673
900,101334
1500,108835
1500,108821
1600,103324
1300,105310
1400,100037
1400,103833
1800,100818
600,108142
1500,107130
900,106606
1700,102915
1000,108293
1600,104786
1500,106780
1200,100459
1200,105024
1100,107593
2400,108406
1700,100895
1400,107168
2200,100863
1400,102586
1500,104425
1200,109313
1600,103377
1200,101503
1400,101729
1000,104605
1300,106949
1200,105632
1300,100623
800,102047
1300,101419
1200,102259
1700,108929
1500,102319
1400,107076
1400,100191
2400,108077
1800,108122
1000,101186
1100,106293
1900,101425
900,104419
800,107074
800,107528
800,106416
1000,105067
900,103888
1300,108200
1000,102734
1200,109214
1500,103231
1600,106620
1000,105135
1500,100838
1400,109238
1600,109710
700,102590
1400,107121
700,105354
1400,101003
1400,104268
1700,100949
1200,100077
1400,108128
2500,105383
1700,108713
1300,102285
1200,102409
1600,106803
1700,105567
1600,104808
1600,108021
1100,107705
800,109001
1300,103159
700,107529
1900,109911
1600,106366
1500,107345
900,109914
1400,106696
1200,108216
1500,106105
1800,100944
1400,109082
1600,104704
2000,102716
1000,102706
1100,100040
1900,106482
900,106053
1500,101263
1100,105201
1500,104308
1800,107021
700,102041
2400,105574
1000,109662
1800,106281
1400,104404
1200,101939
1700,102188
900,107627
1200,101368
1900,109852
1400,100680
1800,109797
1600,104092
1500,108614
900,100840
1200,106469
1200,105430
1200,105604
1200,109625
1600,104746
1300,109787
1100,100307
1300,102665
1700,102107
1800,103969
1200,106384
1100,109639
2200,109139
1300,102750
1100,106112
900,107824
1300,106523
1200,103729
1500,103175
1200,101291
1600,102212
1700,100123
1200,107258
1000,108477
1900,105611
1300,104068
2000,104281
1600,101543
1400,109311
1700,100047
1800,103511
1300,109483
900,107945
1200,108460
2400,108374
1500,100479
900,102758
1200,105620
1500,103458
1300,104809
1000,108836
700,104789
1200,105010
1300,108991
1500,103338
1300,100941
1800,106124
1700,106969
1800,101267
1200,105408
1100,104791
1800,100515
1700,100355
900,102388
1600,102254
1200,109451
1100,108099
1500,100612
1600,107315
1900,106665
2000,108470
1400,100214
1200,107771
1400,105647
2100,106171
1700,103514
2200,102939
1400,109020
700,107379
1300,103449
1100,103955
2100,100826
1100,107058
1800,105154
1700,108049
1600,107150
1400,102545
1700,103871
1300,109819
1400,104220
1800,107073
1100,105861
1400,104648
1500,102993
1900,109734
1500,102907
1500,107561
1500,107960
1500,104181
1000,106099
1800,104477
1800,107135
1400,108094
1300,107100
900,101769
1400,105373
1300,102023
1200,103584
1300,107095
800,105767
1500,102663
1100,106983
1300,109347
1400,104498
1800,103411
1500,108074
1900,107587
1600,108985
1700,108903
1600,103726
1100,102214
900,105088
1700,109499
1200,102297
1400,100657
1000,101209
1800,104966
1800,106663
700,102132
2000,101097
1800,107321
1300,100420
800,107017
1200,100992
2000,103407
1600,104842
1400,102066
1800,107597
1300,106836
1700,100577
1500,105736
1200,104693
1700,105234
1100,107137
1000,104877
1600,100613
1300,100786
1500,102733
1700,103383
1200,101536
1200,109255
1800,100531
1500,106810
1700,106339
1800,101641
1000,103119
1300,107643
1500,100005
1200,102286
900,103000
1100,102498
1700,101168
1700,108163
1000,106464
1300,108385
2200,107117
1700,109449
900,103469
1600,105896
1500,104529
1400,109579
1000,100745
2100,100972
1300,105665
1700,108531
1700,100304
1500,109250
2600,106126
1400,107633
800,100911
2000,106787
1500,102898
1100,109258
1800,108233
1600,106784
1400,104644
1500,102943
1900,106379
1100,106993
1500,109100
1200,100237
1100,108376
2300,100032
1700,106898
1600,103525
1400,109474
1500,107689
1200,103219
1100,101682
1000,104942
1500,109829
2300,100798
800,107387
1300,101273
1300,104106
1800,101119
1400,104362
1200,103089
2100,103593
2100,100578
1300,101805
900,109561
1400,108323
1500,103258
1700,103694
2600,102339
1600,105231
1700,106704
1700,100774
1600,106684
1000,102553
2000,102355
1800,108794
1200,109751
1300,100301
1500,108067
1500,101296
1500,109032
1100,105055
1300,103070
1400,106331
1500,101388
1500,107495
600,105319
1200,107187
1700,109015
1200,103895
1300,103702
900,109026
1500,102535
700,106958
2100,104042
2200,101210
1300,108558
1500,107068
1700,104408
1100,105921
1600,103752
1300,105181
1300,108608
2400,100243
1300,103358
1600,102329
1400,109265
1200,102381
600,109868
1100,101703
1000,108040
900,100405
1400,102296
400,102185
900,100540
1600,103316
1500,103569
1400,109105
2600,109934
1600,101866
2000,105671
1500,106292
1100,109816
1900,107793
1300,101612
1600,103766
1800,102653
1300,107078
1500,109323
1000,101051
1200,103073
1100,102130
1200,109648
1300,109573
1900,107825
1500,104762
1100,103889
1400,108665
1200,104557
1400,103496
1500,102937
1400,103560
1300,109790
1200,109442
1200,101442
1200,101958
1900,101059
1400,106243
2100,103786
1900,101690
2200,102187
1400,101674
1500,100875
800,101264
1900,108355
600,100548
900,106698
900,109538
1200,100088
1300,104856
1400,106908
900,102033
1200,109813
1100,100587
1300,108388
1400,104948
2300,103001
2000,102952
1300,100252
1800,101099
1400,103665
900,103143
1800,102370
900,106347
1300,100320
1600,106381
1000,108333
500,106823
1400,107690
1100,105240
1200,104528
2100,104521
600,109766
2100,100881
1000,101191
2000,104627
1300,109272
1000,103713
1000,108962
1600,106564
2200,100277
2000,107143
1200,102332
1600,102307
1000,101684
1700,107293
1300,109337
1500,109826
1100,104666
1100,103633
1500,102055
1400,107792
1900,100466
2200,104120
1300,108856
1300,108863
900,104008
1400,106364
1200,107267
1500,100675
1700,105535
1500,105086
800,103047
1700,100122
1500,107251
1700,106125
1700,104234
1000,100305
1600,105684
2100,103315
2000,108022
1300,107271
2000,107748
1200,104263
1600,101957
1600,100093
1500,109659
1500,106621
1300,100781
1800,103267
1900,104076
2200,107260
1300,107557
1400,108768
1200,107846
1800,107954
1400,108779
1700,105157
1300,106576
1800,101987
1700,105912
1500,106467
1600,101155
1400,105808
1000,105255
2200,105038
1100,104137
1200,109881
1300,102271
1500,104066
1000,107094
1000,109110
1300,107799
1400,103739
1100,100361
1200,103938
2400,109043
1500,107255
1100,106963
1700,109231
1400,105280
1700,103957
1000,101653
1600,107365
1700,102251
500,107048
1000,107892
1600,104592
1400,101074
1000,103609
1500,105711
1300,109154
1000,106853
1100,107405
1400,109697
1600,107144
700,105694
1700,100546
1200,104289
600,105534
1900,106314
1000,109339
1400,100297
1000,106036
1900,104996
2100,103099
1000,106007
1500,102426
1200,109926
1600,109215
1700,106488
1800,107363
1200,108810
1400,102540
1700,105881
1100,100317
1500,108201
2000,109893
1300,104642
1300,106130
1700,104448
900,106515
1200,105721
800,106028
1100,102810
1900,100908
1500,108276
1400,103908
1300,108944
1400,106193
1700,106770
1200,103884
1200,105195
800,108989
1100,103546
1200,102976
1500,102828
1500,101885
1500,109803
2100,101228
1400,108973
1600,103816
1300,107458
1900,107274
1800,103882
1500,103412
700,108307
1200,102909
1200,105189
2300,109670
900,103325
2000,106615
800,108847
1800,102392
1700,101521
1600,102626
900,109328
1300,101353
800,106909
1500,105905
1600,107077
1900,108400
900,106804
1300,108034
1500,105274
1600,109147
1700,107746
1000,106552
900,107770
1300,105754
1500,103868
1900,102825
1000,101417
1300,107842
1700,100284
1600,102785
1000,101852
1400,100837
1200,108888
900,105739
1200,109352
1000,106137
1800,105822
1200,103031
1400,108331
1900,106554
1700,102694
2000,102876
1300,104312
1500,109577
1800,101190
900,101072
2200,107759
2000,107787
800,106610
2300,105658
1300,101064
1200,109878
900,107043
700,105307
1000,102608
1600,107664
1400,106178
1400,104474
1100,107456
1600,109408
1300,103669
1600,101551
2000,106082
1900,104065
1600,105229
1600,109704
1700,107500
1800,100825
1500,103831
1200,105059
2600,104655
1000,105686
2000,104835
1800,104077
1400,109055
1300,104923
1900,102006
2100,101065
2000,102382
1200,105365
1700,101370
1700,101080
1400,103877
1200,108956
1900,101844
900,109378
1300,105487
1200,100150
700,104793
1300,102094
