customer_id,total_orders
1,15
5,11
9,10
10,8
12,9
17,8
18,13
19,7
24,12
26,6
28,15
30,6
33,11
34,9
35,6
43,10
44,5
48,10
49,11
51,8
52,10
57,9
60,16
61,13
66,17
69,11
71,9
73,10
77,10
78,9
81,8
85,10
86,9
88,11
96,14
97,9
100,13
106,9
108,12
111,9
112,12
114,14
117,10
119,9
122,8
129,7
130,7
133,12
139,10
140,10
141,11
145,11
150,8
151,5
154,7
156,10
157,11
159,9
162,11
163,8
170,9
173,5
174,8
176,12
180,9
181,9
184,14
191,5
195,9
197,11
202,11
203,6
211,17
213,13
216,8
218,5
228,7
239,7
246,13
259,10
261,14
263,9
267,7
273,12
287,13
290,5
291,7
294,14
296,13
298,11
301,11
306,6
311,7
312,10
315,4
321,12
322,15
325,11
330,9
335,6
337,13
341,13
344,12
347,9
348,10
353,11
354,11
356,13
358,11
359,6
365,9
367,10
373,7
374,8
378,14
379,13
381,8
382,16
384,8
389,6
390,9
393,8
394,18
395,10
405,13
407,11
416,8
418,7
421,9
423,18
424,5
426,10
427,5
428,10
434,7
438,8
440,3
444,7
446,8
457,9
458,9
459,14
463,13
470,9
471,12
472,12
474,11
479,10
487,14
488,11
489,9
492,8
494,13
499,12
503,11
508,16
521,12
524,6
526,11
528,7
535,13
541,7
547,12
552,12
555,10
557,8
563,11
565,9
566,9
569,11
579,7
591,6
600,11
603,8
605,5
606,8
607,10
608,14
610,11
614,7
615,11
616,14
619,16
622,11
625,14
626,14
628,13
629,16
636,7
637,9
641,10
649,11
652,8
660,11
663,16
675,5
677,9
682,7
683,10
685,7
686,9
688,12
692,11
693,6
694,12
695,13
697,9
713,10
715,12
716,11
719,12
720,11
722,12
723,9
729,14
732,9
733,11
738,9
739,7
741,9
742,12
745,7
746,6
750,9
751,5
757,10
765,10
768,11
770,12
771,14
775,16
782,11
783,8
794,11
798,11
803,8
809,9
812,10
815,15
817,10
822,9
826,10
827,9
831,10
834,11
835,13
841,15
843,11
845,13
850,6
852,11
854,10
856,10
859,14
860,12
861,15
862,12
867,10
869,9
872,7
873,18
878,9
884,10
886,16
887,8
891,9
892,6
895,8
898,6
899,13
902,6
903,8
907,10
910,14
914,10
915,13
921,12
923,11
928,11
938,11
940,9
942,11
943,7
946,12
948,11
952,9
959,9
961,7
962,6
964,8
966,4
967,9
970,11
974,9
976,11
982,15
983,10
986,11
987,9
992,6
994,9
995,12
1001,12
1008,7
1009,12
1012,20
1014,11
1015,16
1016,7
1017,12
1019,13
1021,15
1022,10
1026,10
1030,10
1034,16
1036,11
1041,9
1044,7
1045,14
1046,10
1048,12
1049,11
1053,13
1056,7
1057,13
1059,7
1060,5
1063,11
1066,8
1068,9
1069,11
1071,4
1072,12
1073,9
1077,13
1078,15
1082,8
1083,7
1084,10
1090,10
1093,9
1094,10
1095,6
1096,8
1100,7
1104,13
1107,11
1118,6
1121,17
1125,10
1127,4
1129,12
1133,13
1139,10
1141,8
1142,11
1145,8
1146,12
1147,10
1159,7
1161,7
1162,6
1168,13
1169,12
1173,7
1174,7
1176,11
1177,6
1179,8
1181,11
1186,11
1195,8
1198,5
1199,13
1200,9
1201,11
1208,9
1209,13
1211,9
1214,10
1216,13
1218,10
1219,15
1220,9
1231,7
1238,12
1244,12
1250,16
1254,6
1258,9
1259,7
1260,11
1266,9
1271,15
1272,11
1274,13
1275,8
1276,16
1280,12
1281,10
1282,16
1298,10
1301,8
1308,8
1311,7
1314,11
1317,10
1321,5
1326,13
1329,8
1330,8
1334,11
1335,13
1337,14
1338,8
1340,9
1341,12
1343,11
1344,6
1351,5
1353,11
1354,12
1356,9
1364,17
1365,9
1368,13
1375,12
1376,8
1377,10
1381,11
1387,6
1389,8
1390,17
1396,16
1397,18
1399,15
1402,7
1405,11
1406,6
1407,14
1411,11
1413,11
1427,16
1433,8
1436,11
1437,4
1440,11
1443,8
1448,10
1451,8
1456,10
1457,9
1459,11
1461,12
1462,8
1464,12
1466,10
1469,7
1470,13
1475,10
1478,6
1479,9
1481,10
1482,8
1484,12
